"","internal_id","date"
"246",11899,1893-08-01
"247",11898,1894-02-01
"248",11897,1896-02-01
"249",11896,1897-04-01
"250",11895,1896-12-01
"251",11894,1893-12-01
"252",11893,1893-12-01
"253",11892,1893-08-01
"254",11891,1893-08-01
"255",11890,1893-08-01
"256",11889,1894-04-01
"257",11888,1896-09-01
"258",11887,1894-02-01
"259",11886,1894-02-01
"260",11885,1896-02-01
"261",11884,1896-12-01
"262",11883,1893-11-01
"263",11882,1893-11-01
"264",11881,1897-04-01
"265",11880,1896-09-01
"266",11879,1894-04-01
"267",11878,1894-04-01
"268",11877,1893-08-01
"269",11876,1894-02-01
"270",11875,1896-06-01
"271",11874,1896-06-01
"272",11873,1896-12-01
"273",11872,1893-11-01
"274",11871,1893-11-01
"275",11870,1896-02-01
"276",11869,1897-04-01
"277",11868,1893-07-01
"278",11867,1896-09-01
"279",11866,1896-05-01
"280",11865,1894-01-01
"281",11864,1896-11-01
"282",11863,1896-11-01
"283",11862,1893-11-01
"284",11861,1896-01-01
"285",11860,1895-05-01
"286",11859,1893-03-01
"287",11858,1897-04-01
"288",11857,1893-07-01
"289",11856,1896-05-01
"290",11855,1896-08-01
"291",11854,1896-11-01
"292",11853,1894-01-01
"293",11852,1893-11-01
"294",11851,1896-01-01
"295",11850,1893-03-01
"296",11849,1893-03-01
"297",11848,1896-05-01
"298",11847,1896-08-01
"299",11846,1896-08-01
"300",11845,1897-04-01
"301",11844,1893-07-01
"302",11843,1894-01-01
"303",11842,1896-11-01
"304",11841,1893-10-01
"305",11840,1896-01-01
"306",11839,1893-03-01
"307",11838,1896-08-01
"308",11837,1896-08-01
"309",11836,1897-03-01
"310",11835,1897-03-01
"311",11834,1894-01-01
"312",11833,1893-07-01
"313",11832,1896-11-01
"314",11831,1896-11-01
"315",11830,1896-01-01
"316",11829,1896-08-01
"317",11828,1893-03-01
"318",11827,1893-10-01
"319",11826,1897-03-01
"320",11825,1897-03-01
"321",11824,1894-01-01
"322",11823,1893-06-01
"323",11822,1893-06-01
"324",11821,1896-01-01
"325",11820,1896-11-01
"326",11819,1896-05-01
"327",11818,1893-10-01
"328",11817,1893-10-01
"329",11816,1789-03-01
"330",11815,1893-02-01
"331",11814,1893-06-01
"332",11813,1894-01-01
"333",11812,1896-08-01
"334",11811,1896-01-01
"335",11810,1896-10-01
"336",11809,1896-05-01
"337",11808,1896-05-01
"338",11807,1897-03-01
"339",11806,1893-01-01
"340",11805,1893-10-01
"341",11804,1893-06-01
"342",11803,1893-06-01
"343",11802,1894-01-01
"344",11801,1894-01-01
"345",11800,1897-03-01
"346",11799,1896-08-01
"347",11798,1896-10-01
"348",11797,1896-04-01
"349",11796,1893-02-01
"350",11795,1893-02-01
"351",11794,1893-02-01
"352",11793,1893-09-01
"353",11792,1893-09-01
"354",11791,1897-02-01
"355",11790,1893-05-01
"356",11789,1896-08-01
"357",11788,1896-10-01
"358",11787,1896-10-01
"359",11786,1896-04-01
"360",11785,1895-12-01
"361",11784,1893-02-01
"362",11783,1893-09-01
"363",11782,1897-02-01
"364",11781,1887-07-01
"365",11780,1893-04-01
"366",11779,1893-04-01
"367",11778,1895-12-01
"368",11777,1896-04-01
"369",11776,1896-10-01
"370",11775,1896-07-01
"371",11774,1893-09-01
"372",11773,1893-01-01
"373",11772,1893-01-01
"374",11771,1897-02-01
"375",11770,1893-04-01
"376",11769,1887-07-01
"377",11768,1887-07-01
"378",11767,1893-09-01
"379",11766,1896-10-01
"380",11765,1895-12-01
"381",11764,1896-07-01
"382",11763,1896-04-01
"383",11762,1893-01-01
"384",11761,1820-05-01
"385",11760,1893-04-01
"386",11759,1893-04-01
"387",11758,1893-09-01
"388",11757,1896-07-01
"389",11756,1896-03-01
"390",11755,1896-03-01
"391",11754,1895-12-01
"392",11753,1893-01-01
"393",11752,1896-10-01
"394",11751,1887-07-01
"395",11750,1893-03-01
"396",11749,1897-01-01
"397",11748,1896-07-01
"398",11747,1896-07-01
"399",11746,1888-09-01
"400",11745,1893-01-01
"401",11744,1893-01-01
"402",11743,1896-03-01
"403",11742,1895-11-01
"404",11741,1897-01-01
"405",11740,1897-01-01
"406",11739,1888-05-01
"407",11738,1896-07-01
"408",11737,1896-07-01
"409",11736,1888-09-01
"410",11735,1896-09-01
"411",11734,1896-03-01
"412",11733,1887-07-01
"413",11732,1897-01-01
"414",11731,1895-11-01
"415",11730,1888-05-01
"416",11729,1888-05-01
"417",11728,1888-05-01
"418",11727,1887-10-01
"419",11726,1887-10-01
"420",11725,1887-10-01
"421",11724,1896-09-01
"422",11723,1896-09-01
"423",11722,1896-03-01
"424",11721,1888-09-01
"425",11720,1888-05-01
"426",11719,1888-05-01
"427",11718,1895-11-01
"428",11717,1896-07-01
"429",11716,1896-03-01
"430",11715,1888-02-01
"431",11714,1888-02-01
"432",11713,1887-10-01
"433",11712,1887-06-01
"434",11711,1888-09-01
"435",11710,1895-11-01
"436",11709,1895-11-01
"437",11708,1895-11-01
"438",11707,1887-03-01
"439",11705,1888-01-01
"440",11703,1888-01-01
"441",11697,1887-10-01
"442",11695,1888-08-01
"443",11693,1888-05-01
"444",11690,1887-06-01
"445",11689,1887-02-01
"446",11686,1888-01-01
"447",11683,1888-08-01
"448",11682,1887-10-01
"449",11680,1888-05-01
"450",11675,1888-01-01
"451",11671,1888-08-01
"452",11669,1887-06-01
"453",11668,1887-02-01
"454",11663,1888-04-01
"455",11662,1887-10-01
"456",11660,1888-01-01
"457",11659,1888-08-01
"458",11653,1887-10-01
"459",11651,1887-06-01
"460",11649,1887-02-01
"461",11648,1888-01-01
"462",11646,1888-07-01
"463",11644,1888-04-01
"464",11643,1886-10-01
"465",11642,1887-09-01
"466",11639,1887-01-01
"467",11636,1888-01-01
"468",11635,1887-05-01
"469",11631,1888-07-01
"470",11630,1888-07-01
"471",11627,1887-09-01
"472",11626,1888-04-01
"473",11625,1886-10-01
"474",11623,1887-01-01
"475",11620,1887-01-01
"476",11619,1887-05-01
"477",11617,1888-07-01
"478",11616,1888-04-01
"479",11614,1887-09-01
"480",11612,1887-12-01
"481",11611,1886-09-01
"482",11609,1887-01-01
"483",11608,1888-07-01
"484",11603,1888-04-01
"485",11602,1887-09-01
"486",11599,1888-07-01
"487",11598,1887-12-01
"488",11596,1887-05-01
"489",11595,1886-09-01
"490",11594,1887-01-01
"491",11593,1888-03-01
"492",11590,1887-08-01
"493",11588,1888-06-01
"494",11587,1887-12-01
"495",11583,1888-03-01
"496",11579,1886-08-01
"497",11578,1888-06-01
"498",11577,1888-03-01
"499",11576,1887-05-01
"500",11575,1887-01-01
"501",11574,1887-08-01
"502",11573,1887-12-01
"503",11570,1892-10-01
"504",11567,1888-06-01
"505",11566,1888-03-01
"506",11565,1887-01-01
"507",11564,1887-12-01
"508",11563,1886-08-01
"509",11560,1887-08-01
"510",11559,1887-08-01
"511",11558,1887-04-01
"512",11557,1892-10-01
"513",11554,1888-03-01
"514",11553,1887-12-01
"515",11552,1887-12-01
"516",11550,1888-06-01
"517",11548,1892-10-01
"518",11547,1887-08-01
"519",11546,1888-03-01
"520",11544,1886-08-01
"521",11543,1886-12-01
"522",11542,1888-06-01
"523",11541,1887-04-01
"524",11540,1892-10-01
"525",11538,1888-02-01
"526",11537,1887-11-01
"527",11536,1886-05-01
"528",11535,1887-08-01
"529",11534,1886-07-01
"530",11533,1886-12-01
"531",11532,1888-05-01
"532",11531,1892-10-01
"533",11530,1888-02-01
"534",11529,1886-07-01
"535",11528,1892-04-01
"536",11527,1886-12-01
"537",11526,1888-05-01
"538",11525,1887-11-01
"539",11524,1887-04-01
"540",11523,1892-04-01
"541",11522,1887-08-01
"542",11521,1886-07-01
"543",11520,1886-04-01
"544",11519,1892-10-01
"545",11518,1888-02-01
"546",11517,1886-07-01
"547",11516,1887-11-01
"548",11515,1887-03-01
"549",11514,1892-07-01
"550",11513,1887-08-01
"551",11512,1892-04-01
"552",11511,1892-04-01
"553",11510,1886-12-01
"554",11509,1892-09-01
"555",11508,1886-07-01
"556",11507,1886-04-01
"557",11506,1892-07-01
"558",11505,1892-07-01
"559",11504,1892-07-01
"560",11503,1887-03-01
"561",11502,1886-07-01
"562",11501,1892-03-01
"563",11500,1892-09-01
"564",11499,1887-07-01
"565",11498,1887-11-01
"566",11497,1886-11-01
"567",11496,1886-11-01
"568",11495,1886-04-01
"569",11494,1886-06-01
"570",11493,1886-06-01
"571",11492,1887-03-01
"572",11491,1887-03-01
"573",11490,1892-03-01
"574",11489,1892-09-01
"575",11488,1887-11-01
"576",11487,1887-07-01
"577",11486,1886-06-01
"578",11485,1892-07-01
"579",11484,1892-07-01
"580",11483,1805-12-01
"581",11482,1892-03-01
"582",11481,1886-11-01
"583",11480,1886-06-01
"584",11479,1886-03-01
"585",11478,1886-03-01
"586",11477,1887-03-01
"587",11476,1887-03-01
"588",11475,1891-12-01
"589",11474,1891-12-01
"590",11473,1892-06-01
"591",11472,1892-03-01
"592",11471,1886-06-01
"593",11470,1892-09-01
"594",11469,1892-09-01
"595",11468,1891-08-01
"596",11467,1886-06-01
"597",11466,1886-06-01
"598",11465,1891-11-01
"599",11464,1892-06-01
"600",11463,1887-03-01
"601",11462,1892-03-01
"602",11461,1886-11-01
"603",11460,1886-03-01
"604",11459,1892-08-01
"605",11458,1891-08-01
"606",11457,1892-12-01
"607",11456,1892-06-01
"608",11455,1886-05-01
"609",11454,1891-11-01
"610",11453,1892-03-01
"611",11452,1892-08-01
"612",11451,1891-07-01
"613",11450,1886-03-01
"614",11449,1886-10-01
"615",11448,1892-03-01
"616",11447,1892-12-01
"617",11446,1890-11-01
"618",11445,1891-11-01
"619",11444,1892-06-01
"620",11443,1886-05-01
"621",11442,1892-08-01
"622",11441,1891-07-01
"623",11440,1891-11-01
"624",11439,1892-02-01
"625",11438,1886-03-01
"626",11437,1892-12-01
"627",11436,1890-11-01
"628",11435,1892-06-01
"629",11434,1891-07-01
"630",11433,1891-03-01
"631",11432,1892-08-01
"632",11431,1891-10-01
"633",11430,1892-11-01
"634",11429,1891-10-01
"635",11428,1892-05-01
"636",11427,1890-08-01
"637",11426,1890-11-01
"638",11425,1891-03-01
"639",11424,1892-02-01
"640",11423,1892-08-01
"641",11422,1886-02-01
"642",11421,1891-07-01
"643",11420,1892-11-01
"644",11419,1891-10-01
"645",11418,1892-05-01
"646",11417,1891-02-01
"647",11416,1890-08-01
"648",11415,1892-07-01
"649",11414,1890-10-01
"650",11413,1891-10-01
"651",11412,1891-06-01
